localadmin_id|localadmin_name|locality_id|locality_name|lat|lon
404494891|Burlington|101733617|Browns Lake|42.690765|-88.230926
404494891|Burlington|101733599|Bohners Lake|42.624166|-88.28793
404494901|Norway|101733595|Wind Lake|42.822966|-88.157362
404494923|Jamestown|101733571|Sandy Hook|42.546636|-90.616757
404494923|Jamestown|101733573|Kieler|42.582306|-90.605183
404494995|Waterford|101733611|Tichigan|42.808859|-88.215067
404495005|Buena Vista|101733765|Gotham|43.222489|-90.296957
404495005|Buena Vista|101733763|Sextonville|43.279763|-90.292316
404495179|Rockland|101733735|Collins|44.082657|-87.983994
404495189|Fredonia|101733639|Waubeka|43.470256|-87.992121
404495341|Plymouth|101733739|Hanover|42.638926|-89.171209
404495357|Grand Rapids|101733767|Lake Wazeecha|44.370932|-89.75513
404495391|Linden|101733749|Edmund|42.966221|-90.264438
404495455|Mukwa|101733881|Northport|44.408233|-88.803769
404495463|Farmington|101733883|King|44.34011|-89.123113
404495463|Farmington|101733887|Chain O' Lakes|44.331863|-89.16711
404495479|Bloomfield|101733861|Tustin|44.169573|-88.896272
404495493|Leon|101733859|Pine River|44.148308|-89.075729
404495503|Poysippi|101733863|Poy Sippi|44.135989|-88.996332
404495545|Rushford|101733909|Waukau|43.986305|-88.770566
404495545|Rushford|101733911|Eureka|44.007261|-88.842569
404495553|Winneconne|101733907|Butte des Morts|44.105907|-88.656567
404495665|Oconomowoc|101733913|Okauchee Lake|43.124962|-88.440994
404495665|Oconomowoc|101732269|Lac La Belle|43.143047|-88.529961
404495673|Pewaukee|101733493|Pewaukee|43.085369|-88.252357
404495673|Pewaukee|101733495|Pewaukee|43.070136|-88.241057
404495679|Vernon|101733515|Big Bend|42.901073|-88.211158
404495695|Westbrook|85931125|Westbrook Center|41.280164|-72.442069
404495705|Branford|85931417|Branford Center|41.277409|-72.815091
404495723|Sprague|85931351|Baltic|41.613984|-72.086634
404495735|Woodstock|85931297|South Woodstock|41.927525|-71.962721
404495743|Griswold|85930869|Jewett City|41.606896|-71.980742
404495745|Groton|85931365|Old Mystic|41.385403|-71.984925
404495745|Groton|85931367|Noank|41.33126|-71.995251
404495745|Groton|85931357|Poquonock Bridge|41.337827|-72.017496
404495745|Groton|85931375|Conning Towers Nautilus Park|41.385501|-72.068564
404495745|Groton|85931373|Long Hill|41.353604|-72.051752
404495745|Groton|85930879|Groton|41.325109|-72.070463
404495745|Groton|85930873|Groton Long Point|41.314586|-72.008709
404495749|Ledyard|85931347|Mashantucket|41.464469|-71.974754
404495749|Ledyard|85931353|Gales Ferry|41.421237|-72.085846
404495753|Montville|85931363|Oxoboxo River|41.444142|-72.125044
404495767|Cheshire|85931411|Cheshire Village|41.502602|-72.899253
404495773|Guilford|85931403|Guilford Center|41.281682|-72.67617
404495779|Madison|85931393|Madison Center|41.279515|-72.600346
404495783|Milford|85930905|Milford city (balance)|41.223737|-73.061637
404495799|Southbury|85931399|Heritage Village|41.48446|-73.235095
404495801|Wallingford|85931381|Wallingford Center|41.449913|-72.818859
404495825|East Windsor|85931117|Broad Brook|41.909693|-72.542592
404495827|Granby|85931059|North Granby|42.015167|-72.84406
404495827|Granby|85931053|Salmon Brook|41.956758|-72.793168
404495849|Winchester|85931209|Winsted|41.926766|-73.067429
404495851|Deep River|85931153|Deep River Center|41.382251|-72.438519
404495853|Essex|85931167|Essex Village|41.355281|-72.390963
404495863|Wilton|85930931|Cannondale|41.216034|-73.424873
404495863|Wilton|85930985|Georgetown|41.249375|-73.434303
404495863|Wilton|85930925|Wilton Center|41.188144|-73.429924
404495869|Berlin|85931081|Kensington|41.629799|-72.771386
404495871|Bloomfield|85931063|Blue Hills|41.81337|-72.695443
404495875|Canton|85931101|Collinsville|41.81899|-72.922144
404495875|Canton|85931113|Canton Valley|41.831556|-72.897733
404495881|Enfield|85931029|Thompsonville|41.991607|-72.596477
404495881|Enfield|85931049|Sherwood Manor|42.01258|-72.566045
404495881|Enfield|85931085|Hazardville|41.989845|-72.525657
404495881|Enfield|85931043|Southwood Acres|41.96098|-72.571878
404495885|Stonington|85931371|Mystic|41.357368|-71.95489
404495885|Stonington|85931359|Pawcatuck|41.37751|-71.849263
404495895|Coventry|85931285|Coventry Lake|41.773599|-72.328699
404495895|Coventry|85931267|South Coventry|41.769443|-72.306378
404495897|Ellington|85931281|Crystal Lake|41.934277|-72.375544
404495903|Mansfield|85931263|Storrs|41.804522|-72.255139
404495903|Mansfield|85931277|Mansfield Center|41.761785|-72.19449
404495905|Stafford|85931259|Stafford Springs|41.959531|-72.310501
404495909|Vernon|85931273|Rockville|41.866736|-72.452955
404495913|Brooklyn|85931337|East Brooklyn|41.794749|-71.899312
404495913|Brooklyn|85931311|Brooklyn|41.789894|-71.954188
404495923|Killingly|85930851|Danielson|41.808562|-71.885554
404495925|Plainfield|85931305|Wauregan|41.750151|-71.909083
404495925|Plainfield|85931341|Plainfield Village|41.676629|-71.924917
404495925|Plainfield|85931333|Moosup|41.716866|-71.875108
404495933|Thompson|85931329|North Grosvenor Dale|41.986236|-71.903339
404495933|Thompson|85931319|Quinebaug|42.010664|-71.937004
404495935|Windham|85931301|South Windham|41.684943|-72.184523
404495935|Windham|85931315|Willimantic|41.71528|-72.217338
404495947|Fairfield|85930959|Southport|41.134125|-73.287819
404495949|Greenwich|85930963|Byram|41.001301|-73.652753
404495949|Greenwich|85930945|Old Greenwich|41.020313|-73.569534
404495949|Greenwich|85930941|Greenwich|41.024944|-73.629822
404495949|Greenwich|85930955|Cos Cob|41.051073|-73.593311
404495949|Greenwich|85930937|Glenville|41.034938|-73.665492
404495949|Greenwich|85930951|Riverside|41.030499|-73.583401
404495949|Greenwich|85931003|Pemberwick|41.022463|-73.656323
404495969|Old Saybrook|85931121|Old Saybrook Center|41.291484|-72.365168
404495969|Old Saybrook|85931249|Saybrook Manor|41.28157|-72.406507
404495969|Old Saybrook|85930843|Fenwick|41.27107|-72.354585
404495979|Glastonbury|85931089|Glastonbury Center|41.701873|-72.600092
404495987|Marlborough|85931033|Terramuggus|41.6344|-72.469241
404495997|Simsbury|85931071|Simsbury Center|41.880771|-72.81113
404495997|Simsbury|85931067|Tariffville|41.907603|-72.768088
404495997|Simsbury|85931015|West Simsbury|41.874765|-72.844906
404495997|Simsbury|85931025|Weatogue|41.845874|-72.829421
404496001|Suffield|85931039|Suffield Depot|41.983096|-72.646343
404496013|Bethlehem|85931245|Bethlehem Village|41.640095|-73.203039
404496017|Canaan|85931193|Falls Village|41.957627|-73.356209
404496021|Harwinton|85931227|Northwest Harwinton|41.776895|-73.079393
404496025|Litchfield|85930837|Bantam|41.724745|-73.242263
404496025|Litchfield|85930833|Litchfield|41.745704|-73.189238
404496029|New Hartford|85931237|New Hartford Center|41.880245|-72.975337
404496033|North Canaan|85931241|Canaan|42.034749|-73.332283
404496035|Plymouth|85931213|Terryville|41.67837|-73.006468
404496039|Salisbury|85931197|Lakeville|41.959415|-73.44666
404496049|Washington|85931171|New Preston|41.681288|-73.352232
404496051|Watertown|85931179|Watertown|41.601779|-73.119572
404496051|Watertown|85931219|Oakville|41.59226|-73.085872
404496053|Woodbury|85931205|Woodbury Center|41.544483|-73.204765
404496055|Chester|85931161|Chester Center|41.401326|-72.452367
404496065|East Haddam|85931131|Moodus|41.504365|-72.44903
404496067|East Hampton|85931135|Lake Pocotopaug|41.596035|-72.512407
404496067|East Hampton|85931143|East Hampton|41.573514|-72.491828
404496069|Haddam|85931139|Higganum|41.490073|-72.556263
404496075|Browning|85941039|Buckner|37.980709|-89.015152
404496075|Browning|85941059|West City|37.996166|-88.946989
404496077|Cave|85941065|Thompsonville|37.914462|-88.762285
404496093|Pleasant|85939163|Ipava|40.352569|-90.323389
404496113|Felix|85938297|Carbon Hill|41.296974|-88.299893
404496119|Highland|85938287|Kinsman|41.190278|-88.569935
404496123|Vienna|85938231|Verona|41.215682|-88.504904
404496127|Knight Prairie|85941053|Macedonia|38.052498|-88.705423
404496151|Northeast|85938477|Golden|40.110231|-91.019156
404496151|Northeast|85938475|La Prairie|40.147058|-91.00249
404496155|Payson|85938429|Plainville|39.784774|-91.181709
404496155|Payson|85938431|Payson|39.817058|-91.244391
404496157|Mcclure|85938493|McClure|37.314708|-89.433166
404496157|Mcclure|85938495|East Cape Girardeau|37.295732|-89.48691
404496159|Burgess|85938649|Pocahontas|38.823734|-89.539207
404496159|Burgess|85938653|Pierron|38.776757|-89.566822
404496163|Tamalco|85938661|Keyesport|38.744731|-89.273905
404496165|Boone|85938823|Capron|42.398556|-88.739291
404496169|Lee|85940633|Mound Station|40.006596|-90.873729
404496175|Berlin|85938575|Malden|41.424905|-89.369826
404496195|Rock Creek-Lima|85938487|Lanark|42.101865|-89.832818
404496201|Wysox|85938459|Milledgeville|41.963665|-89.774695
404496209|Ayers|85938303|Broadlands|39.908722|-87.996848
404496211|Champaign City|85938301|Champaign|40.114883|-88.272865
404496213|Compromise|85941149|Penfield|40.3047|-87.944306
404496213|Compromise|85938245|Gifford|40.30785|-88.021335
404496221|Raymond|85938239|Longview|39.885944|-88.066272
404496223|Scott|85941151|Seymour|40.106728|-88.427158
404496223|Scott|85938305|Bondville|40.111409|-88.368182
404496235|Ricks|85938685|Morrisonville|39.421668|-89.459007
404496263|Looking Glass|85940965|Damiansville|38.508777|-89.615019
404496263|Looking Glass|85940995|Albers|38.545184|-89.614287
404496265|Sugar Creek|85940993|Aviston|38.6164|-89.609119
404496265|Sugar Creek|85940949|Trenton|38.607027|-89.680512
404496277|Palos|85940825|Hickory Hills|41.724788|-87.828116
404496277|Palos|85940747|Palos Hills|41.698636|-87.826556
404496277|Palos|85940745|Palos Park|41.665907|-87.853122
404496281|Honey Creek|85939199|Flat Rock|38.903676|-87.673386
404496283|Lamotte|85939193|Palestine|39.001641|-87.612629
404496285|Oblong|85939187|Stoy|38.996677|-87.83328
404496285|Oblong|85939195|Oblong|39.002348|-87.910961
404496303|Nixon|85939445|Weldon|40.121492|-88.749662
404496305|Tunbridge|85939465|Kenney|40.097848|-89.086001
404496323|Buck|85939745|Redmon|39.644831|-87.86145
404496331|Stratton|85939719|Vermilion|39.580029|-87.587742
404496335|Albion No. 3|85940053|Albion|38.376736|-88.058134
404496339|Salem No. 2|85940047|West Salem|38.519683|-88.008999
404496341|Bishop|85940411|Dieterich|39.060122|-88.381861
404496343|Liberty|85940413|Beecher City|39.186651|-88.787562
404496357|South Hurricane|85940599|Bingham|39.112236|-89.213728
404496363|Mona|85939127|Kempton|40.935367|-88.235434
404496365|Peach Orchard|85939125|Melvin|40.571327|-88.246806
404496377|Alto|85938853|Steward|41.848829|-89.016529
404496379|Brooklyn|85938881|Compton|41.694024|-89.086087
404496379|Brooklyn|85938857|West Brooklyn|41.692802|-89.147305
404496395|Fayette|85939567|Strawn|40.653692|-88.399896
404496399|Nebraska|85939591|Flanagan|40.877207|-88.859961
404496417|Sheridan|85938809|New Holland|40.183443|-89.583046
404496429|Sciota|85939265|Sciota|40.562428|-90.748036
404496429|Sciota|85939273|Good Hope|40.557454|-90.675539
404496431|Harmony|85939867|Bentley|40.343848|-91.111675
404496439|St. Albans|85939809|West Point|40.255576|-91.183307
404496467|Yorktown|85939027|Hooppole|41.521564|-89.91401
404496469|Beaver|85938511|Donovan|40.885135|-87.614041
404496471|Concord|85938485|Iroquois|40.828673|-87.584637
404496479|Pigeon Grove|85938523|Cissna Park|40.566716|-87.892311
404496481|Ridgeland|85938441|Thawville|40.673447|-88.113289
404496489|Somerset|85941217|Harrison|37.798196|-89.336095
404496497|Grandville|85938875|Yale|39.120294|-88.024559
404496499|North Muddy|85938871|Wheeler|39.043042|-88.318764
404496503|Elk Prairie|85939321|Nason|38.175975|-88.966213
404496505|Mcclellan|85939319|Waltonville|38.214042|-89.037362
404496507|Spring Garden|85939331|Bonnie|38.202756|-88.906945
404496507|Spring Garden|85939325|Ina|38.149457|-88.904005
404496511|Otter Creek|85938737|Otterville|39.050787|-90.398445
404496527|Burnside|85939887|New Burnside|37.578656|-88.77268
404496537|Vienna No. 3|85939883|Vienna|37.414348|-88.887038
404496547|Ganeer|85939973|Momence|41.163705|-87.662909
404496547|Ganeer|85940107|Sun River Terrace|41.125387|-87.733679
404496553|Norton|85940009|Reddick|41.098275|-88.248675
404496553|Norton|85939991|Buckingham|41.047068|-88.174912
404496553|Norton|85939133|Cabery|40.995752|-88.203692
404496553|Norton|85940105|Union Hill|41.108429|-88.146178
404496555|Pilot|85939985|Herscher|41.049152|-88.100317
404496557|Salina|85939997|Bonfield|41.145018|-88.054037
404496561|Cedar|85938701|Abingdon|40.803786|-90.400933
404496565|Indian Point|85938743|St. Augustine|40.721204|-90.40692
404496569|Sparta|85938747|Wataga|41.025231|-90.275433
404496571|Walnut Grove|85938703|Altona|41.115054|-90.164824
